Date,NO.1,NO.2,NO.3,NO.4,NO.5
2025/6/9,8,20,27,29,30
2025/6/7,4,16,22,23,32
2025/6/6,2,12,14,25,30
2025/6/5,7,14,19,35,39
2025/6/4,20,30,33,36,38
2025/6/3,7,20,21,25,34
2025/6/2,2,7,11,16,21
2025/5/31,14,18,20,29,35
2025/5/30,14,20,21,34,35
2025/5/3,1,10,19,27,31
2025/5/29,4,18,28,30,31
2025/5/28,9,13,15,24,33
2025/5/27,4,8,23,33,38
2025/5/26,8,15,21,24,34
2025/5/24,14,18,29,35,36
2025/5/23,13,16,24,27,32
2025/5/22,1,8,17,21,35
2025/5/21,10,16,31,34,38
2025/5/20,10,22,23,26,38
2025/5/2,5,12,20,24,28
2025/5/19,4,7,14,25,35
2025/5/17,3,9,24,30,39
2025/5/16,2,13,24,27,39
2025/5/15,2,4,15,25,36
2025/5/14,1,14,18,24,38
2025/5/13,4,10,20,23,29
2025/5/12,8,10,26,27,38
2025/5/10,6,9,20,27,36
2025/5/1,8,19,25,27,39
2025/4/9,4,6,14,24,35
2025/4/8,6,17,18,19,32
2025/4/7,1,6,19,26,33
2025/4/5,12,13,14,15,24
2025/4/4,3,6,7,36,38
2025/4/30,22,26,30,31,38
2025/4/3,5,16,23,31,39
2025/4/29,1,7,13,18,35
2025/4/28,6,12,17,38,39
2025/4/26,20,23,32,35,38
2025/4/25,1,5,24,33,36
2025/4/24,4,6,25,29,35
2025/4/23,1,16,19,27,33
2025/4/22,8,19,23,27,31
2025/4/21,2,6,12,14,24
2025/4/2,4,8,29,32,34
2025/4/19,14,19,21,26,36
2025/4/18,7,24,28,31,36
2025/4/17,3,6,23,24,37
2025/4/16,7,22,25,29,38
2025/4/15,2,3,16,27,39
2025/4/14,9,10,22,30,33
2025/4/12,9,11,15,25,31
2025/4/11,15,17,26,27,35
2025/4/10,14,19,22,26,28
2025/4/1,5,13,17,19,31
2025/3/8,17,23,24,27,35
2025/3/7,9,10,19,33,35
2025/3/6,8,12,15,18,34
2025/3/5,15,23,29,36,39
2025/3/4,11,18,21,23,36
2025/3/31,7,10,13,23,26
2025/3/3,8,9,12,22,27
2025/3/29,4,9,12,17,27
2025/3/28,13,24,25,36,39
2025/3/27,5,25,33,36,37
2025/3/26,1,10,12,32,35
2025/3/25,4,20,24,27,38
2025/3/24,7,25,32,34,35
2025/3/22,5,13,16,24,28
2025/3/21,5,9,15,20,26
2025/3/20,2,16,17,27,32
2025/3/19,11,15,25,29,34
2025/3/18,3,13,15,19,25
2025/3/17,7,11,13,26,30
2025/3/15,8,15,25,26,34
2025/3/14,6,8,18,19,28
2025/3/13,3,4,7,11,30
2025/3/12,6,14,27,30,33
2025/3/11,2,21,24,27,31
2025/3/10,2,4,7,25,37
2025/3/1,4,16,29,31,34
2025/2/9,4,5,27,35,37
2025/2/8,8,24,28,37,38
2025/2/7,16,21,26,29,37
2025/2/6,3,7,22,29,34
2025/2/5,6,7,8,14,39
2025/2/4,1,8,16,19,31
2025/2/3,4,16,21,23,37
2025/2/28,5,27,31,38,39
2025/2/27,11,12,20,28,29
2025/2/26,3,11,24,27,36
2025/2/25,5,11,26,33,35
2025/2/24,8,17,18,24,36
2025/2/22,4,7,11,19,22
2025/2/21,11,13,18,30,35
2025/2/20,3,7,17,24,27
2025/2/2,9,16,29,32,39
2025/2/19,3,27,28,33,38
2025/2/18,10,12,13,19,33
2025/2/17,9,15,29,30,39
2025/2/15,6,8,10,21,26
2025/2/14,11,17,29,34,39
2025/2/13,2,7,11,20,30
2025/2/12,2,6,19,28,29
2025/2/11,10,18,19,27,28
2025/2/10,12,22,26,28,35
2025/2/1,1,10,23,32,37
2025/1/9,2,8,19,21,29
2025/1/8,12,18,20,24,31
2025/1/7,13,23,27,31,37
2025/1/6,7,21,22,27,35
2025/1/4,8,9,12,21,23
2025/1/31,1,5,9,14,26
2025/1/30,9,11,14,18,27
2025/1/3,5,6,8,11,14
2025/1/29,4,11,25,31,32
2025/1/28,13,22,23,24,35
2025/1/27,1,6,16,26,31
2025/1/26,7,8,9,17,20
2025/1/25,1,7,32,36,37
2025/1/24,5,9,12,14,31
2025/1/23,4,7,17,22,35
2025/1/22,6,19,23,26,30
2025/1/21,1,14,18,19,22
2025/1/20,3,12,19,32,34
2025/1/2,12,26,30,32,33
2025/1/18,7,12,18,35,39
2025/1/17,4,7,8,24,26
2025/1/16,9,13,23,29,34
2025/1/15,3,21,22,26,39
2025/1/14,10,22,31,35,36
2025/1/13,4,12,28,35,38
2025/1/11,5,12,13,19,34
2025/1/10,9,11,15,18,20
2025/1/1,2,7,8,10,14
2025/06/09,8,20,27,29,30
2025/06/07,4,16,22,23,32
2025/06/06,2,12,14,25,30
2025/06/05,7,14,19,35,39
2025/06/04,20,30,33,36,38
2025/06/03,7,20,21,25,34
2025/06/02,2,7,11,16,21
2025/05/31,14,18,20,29,35
2025/05/30,14,20,21,34,35
2025/05/29,4,18,28,30,31
2025/05/28,9,13,15,24,33
2025/05/27,4,8,23,33,38
2025/05/26,8,15,21,24,34
2025/05/24,14,18,29,35,36
2025/05/23,13,16,24,27,32
2025/05/22,1,8,17,21,35
2024/9/9,5,16,17,36,37
2024/9/7,5,9,28,36,38
2024/9/6,14,27,31,36,39
2024/9/5,10,13,27,32,37
2024/9/4,9,26,27,31,35
2024/9/30,7,10,24,27,31
2024/9/3,11,14,19,23,24
2024/9/28,10,20,24,35,39
2024/9/27,3,27,34,37,39
2024/9/26,4,6,14,16,20
2024/9/25,2,5,10,12,37
2024/9/24,4,10,19,30,31
2024/9/23,4,12,14,17,35
2024/9/21,9,22,25,35,39
2024/9/20,4,7,30,32,38
2024/9/2,16,20,24,31,37
2024/9/19,16,19,22,26,37
2024/9/18,2,9,16,18,23
2024/9/17,7,9,31,38,39
2024/9/16,12,15,18,19,26
2024/9/14,3,29,34,35,37
2024/9/13,6,8,25,37,39
2024/9/12,3,8,13,27,33
2024/9/11,5,8,14,20,26
2024/9/10,6,34,35,36,39
2024/8/9,2,7,8,10,12
2024/8/8,2,9,13,19,28
2024/8/7,4,5,16,19,30
2024/8/6,1,6,12,29,37
2024/8/5,6,7,11,17,36
2024/8/31,9,15,21,36,37
2024/8/30,3,5,14,22,36
2024/8/3,11,12,26,27,32
2024/8/29,4,21,26,29,36
2024/8/28,6,16,34,35,36
2024/8/27,5,13,21,34,35
2024/8/26,5,9,11,23,33
2024/8/24,25,26,28,29,37
2024/8/23,9,11,30,34,39
2024/8/22,2,8,16,34,37
2024/8/21,1,2,12,13,22
2024/8/20,7,28,30,34,39
2024/8/2,1,19,22,24,38
2024/8/19,2,9,12,16,36
2024/8/17,6,14,32,33,36
2024/8/16,9,17,18,32,35
2024/8/15,7,14,20,27,39
2024/8/14,6,9,24,30,34
2024/8/13,9,15,20,28,32
2024/8/12,8,12,24,28,34
2024/8/10,1,21,28,38,39
2024/8/1,12,24,27,30,35
2024/7/9,2,13,31,33,36
2024/7/8,11,17,20,22,29
2024/7/6,4,21,24,33,35
2024/7/5,17,18,23,24,28
2024/7/4,9,12,15,26,33
2024/7/31,12,18,36,37,38
2024/7/30,2,4,16,29,38
2024/7/3,4,20,25,33,34
2024/7/29,1,12,14,24,30
2024/7/27,1,11,15,18,37
2024/7/26,11,12,18,20,36
2024/7/25,1,9,17,18,39
2024/7/24,2,3,21,23,34
2024/7/23,7,11,12,37,38
2024/7/22,6,20,26,30,34
2024/7/20,1,11,27,29,31
2024/7/2,3,15,16,20,22
2024/7/19,14,19,24,30,36
2024/7/18,5,17,24,33,34
2024/7/17,8,10,26,28,37
2024/7/16,7,24,26,34,36
2024/7/15,1,19,22,25,37
2024/7/13,16,21,23,29,30
2024/7/12,8,17,18,19,36
2024/7/11,1,2,13,23,37
2024/7/10,1,9,14,31,33
2024/7/1,8,11,17,19,23
2024/6/8,11,19,24,31,32
2024/6/7,1,4,27,34,35
2024/6/6,3,11,20,21,36
2024/6/5,3,4,6,14,20
2024/6/4,7,11,17,23,25
2024/6/3,6,10,21,24,31
2024/6/29,2,17,26,33,35
2024/6/28,12,16,25,27,39
2024/6/27,15,18,27,28,31
2024/6/26,2,21,37,38,39
2024/6/25,25,26,32,36,37
2024/6/24,3,13,17,32,39
2024/6/22,1,21,22,25,27
2024/6/21,10,12,15,16,23
2024/6/20,12,13,16,20,32
2024/6/19,2,10,11,14,22
2024/6/18,2,9,15,29,38
2024/6/17,2,8,26,32,34
2024/6/15,5,8,35,36,37
2024/6/14,1,2,17,20,37
2024/6/13,3,12,17,30,38
2024/6/12,14,19,20,29,32
2024/6/11,3,13,26,32,34
2024/6/10,18,19,30,33,38
2024/6/1,4,20,24,28,38
2024/5/9,5,6,11,31,35
2024/5/8,12,13,16,26,37
2024/5/7,4,9,18,25,39
2024/5/6,12,28,31,35,39
2024/5/4,2,7,13,18,28
2024/5/31,8,12,13,23,36
2024/5/30,2,9,32,36,37
